3IR,blockname,leftvariable,rightvariable,option,functionname,functiontype,callersource,constant,memloc,succ
    Begin block 0x0,0x0,0,0,0,0,0,False,0,0,
"    prev=[], succ=[0xc, 0x10]",0x0,0,0,0,0,0,False,0,0,"0xc, 0x10"
    =================================,0x0,0,0,0,0,0,False,0,0,"0xc, 0x10"
    0x0: v0(0x80) = CONST ,0x0,v0,0,CONST,0,0,False,0x80,0,"0xc, 0x10"
    0x2: v2(0x40) = CONST ,0x0,v2,0,CONST,0,0,False,0x40,0,"0xc, 0x10"
"    0x4: MSTORE v2(0x40), v0(0x80)",0x0,0,"0,v2,v0",MSTORE,0,0,False,0,0,"0xc, 0x10"
    0x5: v5 = CALLVALUE ,0x0,v5,0,CALLVALUE,0,0,False,0,0,"0xc, 0x10"
    0x7: v7 = ISZERO v5,0x0,v7,"0,v5",ISZERO,0,0,False,0,0,"0xc, 0x10"
    0x8: v8(0x10) = CONST ,0x0,v8,0,CONST,0,0,False,0x10,0,"0xc, 0x10"
"    0xb: JUMPI v8(0x10), v7",0x0,0,"0,v8,v7",JUMPI,0,0,False,0,0,"0xc, 0x10"
    Begin block 0xc,0xc,0,0,0,0,0,False,0,0,"0xc, 0x10"
"    prev=[0x0], succ=[]",0xc,0,0,0,0,0,False,0,0,"0xc, 0x10"
    =================================,0xc,0,0,0,0,0,False,0,0,"0xc, 0x10"
    0xc: vc(0x0) = CONST ,0xc,vc,0,CONST,0,0,False,0x0,0,"0xc, 0x10"
"    0xf: REVERT vc(0x0), vc(0x0)",0xc,0,"0,vc,vc",REVERT,0,0,False,0,0,"0xc, 0x10"
    Begin block 0x10,0x10,0,0,0,0,0,False,0,0,"0xc, 0x10"
"    prev=[0x0], succ=[]",0x10,0,0,0,0,0,False,0,0,"0xc, 0x10"
    =================================,0x10,0,0,0,0,0,False,0,0,"0xc, 0x10"
    0x12: v12(0x1) = CONST ,0x10,v12,0,CONST,0,0,False,0x1,0,"0xc, 0x10"
    0x14: v14(0x0) = CONST ,0x10,v14,0,CONST,0,0,False,0x0,0,"0xc, 0x10"
"    0x18: SSTORE v14(0x0), v12(0x1)",0x10,0,"0,v14,v12",SSTORE,0,0,False,0,0,"0xc, 0x10"
    0x1a: v1a(0x5725) = CONST ,0x10,v1a,0,CONST,0,0,False,0x5725,0,"0xc, 0x10"
    0x1e: v1e(0x29) = CONST ,0x10,v1e,0,CONST,0,0,False,0x29,0,"0xc, 0x10"
    0x22: v22(0x0) = CONST ,0x10,v22,0,CONST,0,0,False,0x0,0,"0xc, 0x10"
"    0x24: CODECOPY v22(0x0), v1e(0x29), v1a(0x5725)",0x10,0,"0,v22,v1e,v1a",CODECOPY,0,0,False,0,0,"0xc, 0x10"
    0x25: v25(0x0) = CONST ,0x10,v25,0,CONST,0,0,False,0x0,0,"0xc, 0x10"
"    0x27: RETURN v25(0x0), v1a(0x5725)",0x10,0,"0,v25,v1a",RETURN,0,0,False,0,0,"0xc, 0x10"
},0x10,0,0,0,0,0,False,0,0,"0xc, 0x10"
